Rat_id,Sex,Aflatoxin_ppb,Afla_ppb,Visit,Weight(g),Wgtgain,Length_cm,Consumption_g
1,Female,Low,1,1,85.83,85.83,25,13.12
1,Female,Low,1,2,106.28,20.45,26.5,17.94
1,Female,Low,1,3,118.43,12.15,28,16.28
1,Female,Low,1,4,125.81,7.38,28.5,15.43
1,Female,Low,1,5,140.56,14.75,30.5,14.1
1,Female,Low,1,6,144.91,4.35,31.5,14.02
1,Female,Low,1,7,154.34,9.43,32.1,13.99
2,Female,Low,1,1,65.23,65.23,23,13.12
2,Female,Low,1,2,81.53,16.3,24,17.94
2,Female,Low,1,3,93.55,12.02,26,16.28
2,Female,Low,1,4,100.23,6.68,27.5,15.43
2,Female,Low,1,5,108.84,8.61,28.5,14.1
2,Female,Low,1,6,113.89,5.05,29.2,14.02
2,Female,Low,1,7,122.41,8.52,30.8,13.99
3,Female,Low,1,1,61.52,61.52,23,13.12
3,Female,Low,1,2,73.87,12.35,25.5,17.94
3,Female,Low,1,3,84.55,10.68,25.5,16.28
3,Female,Low,1,4,92.8,8.25,26.2,15.43
3,Female,Low,1,5,103.21,10.41,27.5,14.1
3,Female,Low,1,6,105.72,2.51,28.1,14.02
3,Female,Low,1,7,114.7,8.98,30.1,13.99
4,Male,Low,1,1,71.99,71.99,24.5,16.72
4,Male,Low,1,2,88.91,16.92,25,18.25
4,Male,Low,1,3,98.98,10.07,27,17.05
4,Male,Low,1,4,108.4,9.42,27.2,16.97
4,Male,Low,1,5,120.97,12.57,28.2,18.13
4,Male,Low,1,6,128.66,7.69,29,16.89
4,Male,Low,1,7,139.9,11.24,30.3,18.26
5,Male,Low,1,1,85.52,85.52,26,16.72
5,Male,Low,1,2,107.15,21.63,26,18.25
5,Male,Low,1,3,118.07,10.92,26.5,17.05
5,Male,Low,1,4,130.2,12.13,27,16.97
5,Male,Low,1,5,149.76,19.56,31.6,18.13
5,Male,Low,1,6,153.55,3.79,33.6,16.89
5,Male,Low,1,7,166.8,13.25,34.3,18.26
6,Male,Low,1,1,74.96,74.96,24,16.72
6,Male,Low,1,2,89.89,14.93,24,18.25
6,Male,Low,1,3,100.76,10.87,25,17.05
6,Male,Low,1,4,111.05,10.29,27.5,16.97
6,Male,Low,1,5,123.43,12.38,30.5,18.13
6,Male,Low,1,6,127.77,4.34,31.2,16.89
6,Male,Low,1,7,141.02,13.25,32,18.26
7,Female,Medium,2,1,65.89,65.89,22,5.09
7,Female,Medium,2,2,82.48,16.59,23.7,15.29
7,Female,Medium,2,3,90.55,8.07,24.8,12.6
7,Female,Medium,2,4,100.67,10.12,25.3,13.46
7,Female,Medium,2,5,112.41,11.74,27.3,12.84
7,Female,Medium,2,6,116.98,4.57,28.2,13.69
7,Female,Medium,2,7,125.67,8.69,29.5, 
8,Female,Medium,2,1,59.99,59.99,23,5.09
8,Female,Medium,2,2,70.47,10.48,25.4,15.29
8,Female,Medium,2,3,79.23,8.76,26.1,12.6
8,Female,Medium,2,4,89.21,9.98,26.4,13.46
8,Female,Medium,2,5,104.75,15.54,29.2,12.84
8,Female,Medium,2,6,109.48,4.73,30.7,13.69
8,Female,Medium,2,7,116.86,7.38,31.7, 
9,Female,Medium,2,1,67.25,67.25,24,5.09
9,Female,Medium,2,2,81.4,14.15,26.1,15.29
9,Female,Medium,2,3,93.37,11.97,27,12.6
9,Female,Medium,2,4,103.3,9.93,28.7,13.46
9,Female,Medium,2,5,121.92,18.62,30.3,12.84
9,Female,Medium,2,6,129.68,7.76,30.7,13.69
9,Female,Medium,2,7,138.29,8.61,32.8, 
10,Male,Medium,2,1,49.94,49.94,22,4.31
10,Male,Medium,2,2,62.99,13.05,23.9,8.18
10,Male,Medium,2,3,70.54,7.55,24.7,10.63
10,Male,Medium,2,4,78.96,8.42,25.5,11.21
10,Male,Medium,2,5,89.94,10.98,27,11.95
10,Male,Medium,2,6,94.94,5,28.3,15.55
10,Male,Medium,2,7,103.45,8.51,30.2, 
11,Male,Medium,2,1,46.23,46.23,21,4.31
11,Male,Medium,2,2,62.55,16.32,22.7,8.18
11,Male,Medium,2,3,69.73,7.18,23.7,10.63
11,Male,Medium,2,4,77.31,7.58,24.9,11.21
11,Male,Medium,2,5,91.33,14.02,27,11.95
11,Male,Medium,2,6,96.71,5.38,27.8,15.55
11,Male,Medium,2,7,109.4,12.69,28.9, 
12,Male,Medium,2,1,45.43,45.43,21,4.31
12,Male,Medium,2,2,60.33,14.9,22.3,8.18
12,Male,Medium,2,3,67.06,6.73,23.3,10.63
12,Male,Medium,2,4,77.41,10.35,25.4,11.21
12,Male,Medium,2,5,91.1,13.69,27,11.95
12,Male,Medium,2,6,100.16,9.06,29,15.55
12,Male,Medium,2,7,106.7,6.54,30.1, 
13,Female,High,3,1,52.72,52.72,22,6.48
13,Female,High,3,2,55.4,2.68,22,11.99
13,Female,High,3,3,63.09,7.69,22,12.83
13,Female,High,3,4,72.58,9.49,24.5,14.61
13,Female,High,3,5,88.06,15.48,27.8,14.67
13,Female,High,3,6,92.52,4.46,28.9,13.92
13,Female,High,3,7,101.41,8.89,29.6,11.84
14,Female,High,3,1,51.27,51.27,22,6.48
14,Female,High,3,2,54.21,2.94,22,11.99
14,Female,High,3,3,63.39,9.18,22,12.83
14,Female,High,3,4,72.89,9.5,24.5,14.61
14,Female,High,3,5,91.08,18.19,27.3,14.67
14,Female,High,3,6,95.84,4.76,28.5,13.92
14,Female,High,3,7,101.8,5.96,29.8,11.84
15,Female,High,3,1,48.45,48.45,22,6.48
15,Female,High,3,2,54.52,6.07,22.4,11.99
15,Female,High,3,3,62.99,8.47,22.5,12.83
15,Female,High,3,4,73.86,10.87,24.4,14.61
15,Female,High,3,5,88.91,15.05,27.1,14.67
15,Female,High,3,6,94.45,5.54,28,13.92
15,Female,High,3,7,102.09,7.64,29.3,11.84
16,Male,High,3,1,49.46,49.46,20.5,13.07
16,Male,High,3,2,60.46,11,22,14.05
16,Male,High,3,3,69.37,8.91,23,13.11
16,Male,High,3,4,74.62,5.25,24.5,15.22
16,Male,High,3,5,90.3,15.68,27.1,16.6
16,Male,High,3,6,99.06,8.76,28.5,17.01
16,Male,High,3,7,107.98,8.92,30.7,16.4
17,Male,High,3,1,63.09,63.09,24,13.07
17,Male,High,3,2,80.55,17.46,24,14.05
17,Male,High,3,3,89.51,8.96,26,13.11
17,Male,High,3,4,101.65,12.14,26.5,15.22
17,Male,High,3,5,123.1,21.45,30.3,16.6
17,Male,High,3,6,132.01,8.91,31.3,17.01
17,Male,High,3,7,143.98,11.97,32,16.4
18,Male,High,3,1,64.88,64.88,23.5,13.07
18,Male,High,3,2,78.93,14.05,24,14.05
18,Male,High,3,3,86.84,7.91,25.5,13.11
18,Male,High,3,4,96.98,10.14,26,15.22
18,Male,High,3,5,112.66,15.68,29.8,16.6
18,Male,High,3,6,122.15,9.49,30.9,17.01
18,Male,High,3,7,130.82,8.67,31.5,16.4
 , , ,, , ,, , 
